Symbol,Entry Time,Exit Time,Side,Entry,Exit,Quantity,Risk,Stop Loss,Take Profit,Profit,Reason,Status
BTC/USDT,2026-06-20 16:00:00,2026-06-21 21:00:00,BUY,64160.04,63518.600000000006,0.15589922673983583,100.0,63518.600000000006,65442.92,-99.99999999999953,STOP_LOSS,CLOSED
BTC/USDT,2026-06-27 17:00:00,2026-06-27 19:00:00,BUY,60808.0,60330.35571428572,0.2072672131981074,99.0,60330.35571428572,61763.288571428566,-99.0,STOP_LOSS,CLOSED
BTC/USDT,2026-06-29 22:00:00,2026-06-30 05:00:00,BUY,60479.71,59386.11,0.08962143379663519,98.01,59386.11,62666.909999999996,-98.01000000000012,STOP_LOSS,CLOSED
BTC/USDT,2026-07-01 19:00:00,2026-07-02 14:00:00,BUY,60171.16,62075.14571428572,0.10192292859340174,97.0299,59219.16714285714,62075.14571428572,194.05979999999988,TAKE_PROFIT,CLOSED
BTC/USDT,2026-07-09 18:00:00,2026-07-13 13:00:00,BUY,63142.79,62287.46571428571,0.11571108134425181,98.97049799999999,62287.46571428571,64853.438571428575,-98.97049800000035,STOP_LOSS,CLOSED
BTC/USDT,2026-07-18 11:00:00,2026-07-18 17:00:00,BUY,64016.43,64421.08714285714,0.4842657284050004,97.98079301999998,63814.10142857143,64421.08714285714,195.96158603999947,TAKE_PROFIT,CLOSED
